Brigade,latitude,longitude
WOOLUMBOOL ,-36.85,-140.3
WOLSELEY ,-36.35,-140.9
WANILLA ,-34.55,-135.7
KOPPIO ,-34.4,-135.85
WHYTE YARCOWIE ,-33.25,-138.9
BOOL LAGOON ,-37.2,-140.65
CLAYTON ,-37.9,-145.15
SENIOR ,-36.1,-140.8
RENDELSHAM ,-37.55,-140.25
LOCK ,-33.55,-135.75
MIMILI ,-27,-132.7
AVON ,-34.45,-150.7
OODNADATTA ,-27.55,-135.45
PEAKE ,-35.35,-139.95
ALLENDALE EAST ,-38,-140.7
FARRELL FLAT ,-33.85,-138.8
COUNTRY FIRE AUTHORITY ,-38.35,-144.9
ANDAMOOKA ,-30.45,-137.15
KOOLUNGA ,-33.55,-138.35
MOUNT TEMPLETON ,-34,-138.3
WOOMERA ,-31.2,-136.85
PEKINA ,-32.85,-138.55
ALMA ,-29.7,-149.15
R4 ,-35.3,-149.15
STAFF ,-38.25,-146.45
R3 ,-35.3,-149.15
TOTHILL ,-34.05,-138.95
WARRAMBOO ,-33.25,-135.6
YALANDA JAMES ,-17.35,-145.6
WHARMINDA ,-33.95,-136.25
R6 ,-35.3,-149.15
PIP-KALKA ,-26.15,-129.1
PORT MACDONNELL ,-38.05,-140.7
